囪	［囪-囱］
変	變变
夊	終綏
夋	逡
夌	陵
夏	夓𠀼𠌘𠍺𡔰𤴞𡕭𡕻𡕾𡖃昰𣋗𧈄𩖳廈雅暇假檟
夐	敻𤔫矎
夒	獶獿
夓	夏𠀼𠌘𠍺𡔰𤴞𡕭𡕻𡕾𡖃昰𣋗𧈄𩖳廈
夔	虁𡕿𡖂𣦞𩠰𧁎𧃰𩠮犪期
夕	汐穸昔豫
外	𡖄
夗	夘鴛
夙	𠈇𠉦𠘵𡖊𡖕𣦽
多	夛𠀰𡖈𡏗𡖇𡖩𢑑𢑰祇哆
夛	多𠀰𡖈𡏗𡖇𡖩𢑑𢑰
夝	晴
夣	梦夢
夤	𡖷寅𦟘
大	𠘲亣太
夨	側
天	𠀑𠀡兲𠑺𠕹𠀘𡰭䒶𩇗𩇞靝
太	大夳𡘙𣡳泰世
夬	叏𡗒𢎹決缺
央	㡕泱殃
夯	𠛞𠡊
夰	昊
失	佚𢩥泆軼
夲	本𠦍𠦂夵
夳	泰𣳾太
夵	夲
夶	比
夷	侇𡗝𢓡𡰥㹫跠恞痍儕彝荑焉
奃	𡗨𡗰𡘄嚏
奄	𠘘𡘹庵䣍晻淹掩闇黭
奅	窌礮
奇	竒畸綺羇寄倚觭
奈	柰耐
奉	俸𠬻捧𢱵逢
奎	𡌤䖯䠑
奏	㔿𠭕𠭡𡼘𡲱𡲯𡳡𡘶𡴨𡴝𢽥揍走趣湊腠族𩱛
契	卨禼偰𡬨𢍆𢍠栔𣓇猰楔挈
奓	侈偧卶奢
套	㚐𡘂𡘷
奘	弉
奙	畚
奚	貕
奛	爌
奜	斐
奞	𨾮
奟	㔙
奠	典尊𠪝鄭飣填停
奡	傲
奢	奓
奤	𩔈
奨	奬獎奖
奭	𠁗𡚐
奯	𡚓
奰	𡚤
奱	𠮖孌
奲	嚲
女	𠨰𡚬汝如
奴	仅㚢
她	姐
奺	𡚮
奻	𡠛
好	𢑒𡥃𡥆㝀𩐔𤫧
奿	𡚺
妃	𡝑𡝞
妄	𡚶𧧄
妅	娂
妉	娊媅愖堪
妍	姸蔅
妎	𡛐𡟲
妓	姼
妖	𡝩袄訞𧨶姣夭
妗	𡢳
妘	𡛍𡞩㜏𡤀𪔈
妚	𡜊胚邳
妛	媸
妞	㚼𡚽
妠	𡜴
妣	𡚨
妥	𡛎𢼻綏
妦	㛔
妨	彷㤃牓
妯	𠉩㛩
妴	𡛝
妶	娹㜅
妸	婀
妻	𡜌𡜛𡜈𡝣
妾	㛙
妿	可㚳
姆	娒母
姇	琈
始	乨兘𠃭
姌	㚩
姐	她媎毑㜘
姒	娰㚶
姓	𤯕𤯣𤯧𤯬
委	諉萎隈
姘	屏嬪
姚	𡜞窕遥佻
姛	𡜝𩒗
姝	𡚾
姞	吉𡜩
姡	𡜶
姢	娟
姣	㚣妖嬌佼狡
姤	遘后
姧	姦奸𡝎𢙶𡟗𪙨
姩	𡝟
姫	姬
姬	姫㚦㚶
姮	嫦
姱	夸
姶	㛕
姷	侑
姸	妍蔅
姺	㜪䢾
姼	妓𡚼媞
娀	𡞨
威	𤰴畏隈
娂	妅
娊	妉
娋	𡡏
娍	𡡛
娐	𡣷
娑	𣯌
娒	姆母
娔	𡞢
娕	娖𡣒孎𨃢
娖	娕孎
娗	婷
娙	𡜇
娚	喃
娜	𡟦
娞	婑
娟	姢𡣬
娠	𡝌㛛
娤	妝
娥	䄉
娦	嬪
娩	㝃㛯嬎
娬	嫵
娭	㜯
娯	娛娱
娰	姒㚶
娶	取
娷	諈
娸	𡞑
娹	妶婱
娼	倡
婂	嬵
婆	𢋉𡟖㜑𡣩
婉	𡟰䛷䩊
婊	脿
婍	䄎
婎	𡠓
婑	娞婐
婓	婔
婔	婓
婕	媫
婗	兒𠒰彌睨
婘	卷孉𡤡眷
婙	婧
婚	𡕽𡝪㛰昏𤔿
婞	幸倖𡟡
婧	婙
婩	𡛢
婯	麗
婱	娹
婷	娗
婸	𢠽
婹	偠𡠇𡢇
婾	媮
媄	㜫
媅	妉
媆	嫰㜛嫩
媇	親
媊	𡠔𡡸
媌	㑤㚹嫹
媎	姐
媐	𡟮𡢰
媕	㜝
媚	𡡾𡡚
媞	偍姼禔
媟	𡜄𡝥𡤏
媠	嫷惰
媢	冒
媣	㛊
媤	㚸
媦	𡣃
媨	𡞜
媩	𡛚
媫	婕
媳	𡡁
媵	𠈪㑞𠊶𡟒𦩩
媸	妛𡟎
媺	美尾
嫀	㜪
嫁	𧱌
嫂	㛐㛮
嫇	𡡨
嫉	㑵𡜍𢞱愱𧪠
嫌	慊謙
嫐	嬲
嫕	𡡌
嫖	𡤚闝
嫘	𡤯
嫙	𡡍䁢
嫚	𡢚
嫛	𡤖
嫜	傽章
嫟	𡠷嬺
嫠	𡟋𡠉
嫡	𡡿適
嫢	𡠝
嫥	專𡞍𡞤摶
嫦	姮
嫧	𡢲
嫨	戁
嫫	𢂳𡠜
嫭	𡚯𡞛嫮𡢙
嫮	嫭
嫯	傲
嫳	𡡹
嫴	估
嫶	憔癄
嫷	媠
嫸	𡣌𡤮
嫹	媌
嫼	𡣫
嫽	𡢴
嬉	喜熙
嬊	嬿
嬍	美
嬎	嬔娩㛯𡢎𡤳𡤹
嬐	僸㚧
嬔	嬎娩㛯𡢎𡤳𡤹
嬖	辟
嬗	善嬋禪壇
嬘	𡟝
嬛	𡦃𡞦𡣱煢
嬢	孃
嬬	𡢉
嬯	儓
嬱	㜞
嬲	嫐𠒰𢣲𤲶
嬳	𡤬
嬴	𡢔㜲𦏝
嬵	婂
嬹	興
嬺	嫟
嬿	嬊𡤈
孀	霜
孁	靈
孂	𤃾𥶞
孅	纖
孈	𡣸
孉	婘𡢸歡
孎	娕娖𡠟燭
孏	懶
子	仔𠙭𡐫㜽𡿹𢀇𢀈𢀉𧆰
孑	𠆨
孔	𡤿空
孕	㞌𡱟㚺𡢘𣎜𥀨𥀩𨈼
孖	滋
字	𡥜𥤪
存	𠩯侟
孚	俘𤔍附孵琈稃付桴符
孛	勃𡥇𡥞悖
孞	信
孟	𣏍𥁪
孠	嗣
孡	胎
季	𡥞𡦠𧇯𩐄𩐖
孤	𦣮
孥	帑奴
孨	孱孴
孩	咳㜾䪱
孯	掔
孰	𠅩熟𩪿
孱	孨
孳	孶𢀐𡥝𢇖𦈄
孴	𡥦孨𡥨𡦏
孵	孚𡥭負
孶	孳𢀐𡥝𢇖𦈄
孷	𡥽
孹	擘
孺	𡥶𡦘𡦗
孻	𡦌
宄	𠬚𡧌𡧫
宅	度厇𡊾㡯𡧪坼咤㓃詫
宆	穹
宇	𡧃𠨯㙑㡰𢉠𡧈㝢穻寓芋野羽
守	垨𡬮𡬴㝊𡧕
安	侒
宊	突突家
宋	𠳼
完	院寬
宍	肉
宎	㝔
宏	広厷吰宖䆖𥥈紘閎
宐	宜冝
宓	密
宔	𥘭砫
宕	𥥔雼
宖	宏
官	𠂥𡧺
宙	㣙鈾
定	㝎𡧡掟錠顁帝
宛	惌苑藴鬱
実	實实
客	疴
宣	亘𠖚𡨈𡩦𡪏諠瑄和
室	𩋡
宦	𠈄𠋪䆠
宩	屎
宬	𡧿𡩍窚
宯	窙
宰	𠈾𡨔𡨧𡪤𣪮
宲	𡧖實
害	𠕛𡧱𤇵
宵	𣆺
宷	審
宸	䆣
容	𠕺𠴅㣑㝐頌鎔公訟庸溶
宺	𡧽
宻	密
寁	𢧣
寂	𠴫𡧘𡧤𡧯𡨁𡨜𡪌漃𢚍𥤲𥤽𥥒𥨅𧧌諔
寅	夤𡓓𡓵㝙𡩪𡩟𢁐𥦕𦦚濥殥
密	𡶇宓宻䀄𢛬𧶡蔤𤛬蜜
寈	青
寍	寧
寎	窉
寏	𥦺院
寐	𥦉𥧌鮇沬
寒	𡫙𡫜𡫮𡫾𣽬
寖	𩅕寢浸
寚	宝寳寶
寜	寧
寞	𡖶
寡	𠆣𡪍𡩼𧵿
寣	𥨉
寤	𡨂𡬑窹𧄯唔悟晤啎牾
寥	𡽐廫𡪹𡫝𥧯漻寮
寯	㝦
寰	縣
寱	䆿囈𡬒𥧵𥨘
寴	親
寺	䦙
寽	捋鋝
対	對对
尀	叵𡬡
封	𡉘𡉚𡊋𡊽𡎈峯葑窆
専	專擅专
尃	佈敷甫
尉	叞㷉熨慰罻
尊	𡬭𡭆𢍜奠𤮐𥈪
尌	樹駐
小	𡮐
尐	𧉍
尓	你尒您爾儞伱尔
尖	兓
尗	叔菽
尛	麽
尞	燎𡼷僚
尢	尣𡯁尤
尣	尢𡯁尤
尤	尢𡯊犹𣧗怣訧猶郵
尥	𡯌尦𡯚
尦	尥
尨	狵庬龐龍
尩	尫𡯁
尪	尫𡯁匡
尫	尩尪𡯁
尬	𡯕𡯗
尭	堯𠒖𡊪垚𡋰尧
尯	𡯵𣄲𣧼𥎾
尰	𡰁
就	𡯶𡰔𡰗
尲	凲尶尷
尳	𡯜㾶
尵	𡯺
尶	凲尲尷
尹	𢁨𢂫𢂬𢂭𢃁𢃂𢃹𢃵
尻	㞍𡰼𡱧胒
尼	㞾𡰱𡲌昵
尾	㞑𡱓𡱕𡱲𡲵𩜧
尿	𡱤𡱴㞙𡲘㳮溺𣻨𣭼
屁	𡲩𥤶𥥓𥧔䊧
屄	𣬼毴
居	凥㝒𡨢㞐𧿃踞姬錮倨舉
屇	㧂
屈	窟𡕜𡲒𡲗𡲬𡲶𣮈詘掘淈黜
屋	剭𡲃𦤼𦥂
屌	𡰯
屎	宩𡱁𡲑𡲖𡲔𥺶𥻐𦳊
屏	屛庰偋幈姘幷併迸
屐	𡰸𡰵跂
屑	㞕
屔	𡎿𢇀
展	㠭㞡
屖	遟
屙	㢐𡱻痾
屚	漏
屛	屏庰偋幈姘
屝	菲
屟	屉屧
屣	躧𩋀𩌦𩌳
履	𢔃𡲟𡳐𨂠𨇐𩕎
屧	屜屟𡲕𡲷𡳙䕈𧀢
屪	𡳇㞠膫
屫	屩
屭	㞒
屮	屮𠂇草
屰	戟逆霸
山	𡶸
屳	仙
屴	𡴽
屵	𡹼
屹	𡵊𡵋𤣮阣
屺	𡵒𡷦岊
屼	𡵉
屽	岸𡷛
岀	出
岈	谺
岊	𡴹𡴺𡴼屺𡵒𡸎
岋	岌
岌	圾岋
岍	𨸦開幵
岎	岔
岐	㞿㟚𡹉歧
岑	埁㞤𡻿
岓	𡵱
岔	叉岎
岕	𡵚
岝	岞
岞	岝
岢	㞹
岣	𡵺
岤	穴
岥	坡
岦	𡶧
岧	岹
岨	阻砠𥕅𥥐𪂓
岪	𡶒
岯	𠃂邳𨸿𨸹
岰	𡵿
岲	𡶢
岴	嶇
岵	𠰛
岶	𣶎
岷	㞴㞶𡹋崏𡸧㟭𡼐汶渂𣊽
岹	岧
峃	嶨
峇	𡸡
峉	㟯𡾆𡿃
峊	𡶫阜
峋	𥒘
峌	嵽
峍	嵂
峎	𡷐
峔	𡶰
峗	硊
峘	𡴿𡵎𡷆𡷗
峙	崻庤
峜	計
峞	嵬
峪	硲
峮	㟒
峱	嶩巎𡿚巙
峵	嶸
峹	嵞
峺	硬
峻	𡋴埈𡍵𡺲𡼕𡿀陖進畯
峼	𡷥
峿	𥒾
崆	𡹝
崇	崈𨛱𩅃終宗
崈	崇
崋	華
崎	𥔎﨑埼㟢碕嵜𡼋𡼭陭
崏	岷
崔	𡹐嵟嶉磪𨻵
崚	𡹃𡻴𡺿碐𪌨
崜	𡶲
崝	嶒
崞	𡾘䧐
崣	𡹜
崤	𡵔㠙殽
崦	𡹛𡹮嶖
崧	嵩
崨	𡹈㠍
崩	𡶤𡷌𡹔𨹹𨻱
崰	𡸟
崱	𡺢
崴	𠋘㟪嵔畏
崵	𡼍
崷	𡷾𡺚
崸	㟅
崻	峙
崿	㟧𡼑㠋𡼰𡾙
嵁	碪
嵂	峍
嵉	𡺣
嵊	𡹴𡼺
嵋	𡼴
嵌	篏眼㘛廞
嵍	𡺱旄𥓺務
嵏	嵕𡽀
嵑	碣
嵓	碞嵒岩喦癌
嵔	崴
嵕	嵏
嵜	𥔎﨑埼崎㟢碕
嵞	塗𡷣峹𡸂𡽚
嵟	崔
嵠	磎谿𧮾溪渓
嵤	嶸
嵨	塢
嵩	崧
嵪	墽
嵬	峞㠕巋𩲈傀
嵮	巔
嵲	𡶫𡺼
嵸	𡵝
嵹	𡾪
嵺	𡻪𡽟
嵽	峌𡹭𡻜𡼄
嵾	㠁𡼶
嶀	𡹻𡻻
嶂	障
嶅	墽㟼㠂礉𥂢
嶉	崔
嶋	㠀嶌嶹島
嶌	㠀嶋嶹島
嶒	崝𡼳𡿘
嶖	崦
嶘	㟞𡸚
嶙	𡼵𡿑
嶜	𡼫
嶝	隥
嶞	𡺆
嶡	橛
嶤	嶢𡸳𡽄峣
嶨	㙾峃
嶩	峱
嶪	嶫
嶫	嶪
嶬	㕒㠖䧧
嶭	𡺰𡾦𡾲
嶲	雟巂
嶳	地
嶷	𡷪㠜
嶻	巀
嶾	𡽸𡾯
巀	嶻𡾺𡾃
巁	𡽇
巂	嶲𡾧𨾚𪆳𪈥規
巃	巄𡾩
巄	巃
巆	嶸謍
巇	𡾟𡾞隵
巉	𡷭𡽡𡿣
巌	巗巖
巍	𡿁𡿆魏
巎	峱
巏	𡺟𡺹
巑	㠝
巓	巔
巙	峱
巜	澮
州	洲𠃕𠛏𣧓
巟	𣺬
巠	坙𡿱經
巢	巣勦漅𤔥𥲀
巣	巢勦漅𤔥𥲀
巤	𢀂
工	𠜝𢀚㣉𢒄
左	佐𠂇𢀡
巧	𢩨㤍
巫	𢀣𠮎𢍮
差	叉𢀞𢀠𢀩荖嗟瘥蹉
己	𢀒
已	以巳祀
巳	已
巴	㿬笆
巶	昭
巷	衖㟟𢕵𨙵䢽䣈𨜕𨞔𨞠閧闂鬨
巸	𣢮戺𦣤熙
巺	巽
巻	卷倦
巽	𢌴𢍳巺㢲遜選
巾	䘜
巿	𡴄韍
市	芾
帇	𦘒
帉	𢁥
帊	𢁡帕袙袹
希	稀𠬹㠻𢁫睎絺
帑	伖孥
帒	袋
帓	韤
帔	被
帕	絈帊
帗	𢁵袚韍
帝	𠫦𢂇
帞	絈絔袹
帠	臬
帡	帲
帢	𢂿㡊𢃫𠕣𧚧𩉉
帰	皈歸归
帲	帡
帴	韉
帷	𠥎𠥛
常	㦂裳尚長嘗祥掌商
帺	𢃛𧚈褀綥
帿	侯
幄	𢄰𧛐
幅	畐䋹福
幈	屏
幋	褩
幌	縨榥櫎
幐	𦞊𦩫
幒	𢃭
幓	幧襂縿
幔	幕㡢𧜞
幖	𢅚𢅽標
幜	景
幠	𢃀
幡	旛翻
幢	㡖𣄢
幤	幣𢄞𧝬𧸁币印
幦	𧜀
幧	㡑幓
幨	𢃔𢅐裧襜
幪	𢄐
幭	𢅓𢅵
幮	㡡廚
幯	擳
幰	𢁗
平	𠀒𠀭𤔁辨抨
幵	𢆛岍
幷	并併並竝𥩵屏摒
幺	么糸
幻	𠄔㕕𢆱𣥌
幼	𠣎㓜𢈗𢆲袎
幽	𠫬𡋢𣾧𤄘
庀	庇比䚰䚹
庁	廳廰𥑈
庂	仄
広	廣宏弘曠
庇	庀比芘禆祕
庉	𢇠
庋	庪攱㨳
庍	𢇩廳
庎	楐匄
序	㘧䦽
底	𢇝
庖	包胞炮烰
店	坫
庚	𢈰𧟴
庛	𢉪𢊳
府	𢇯腑俯疛
庝	𠩁
庢	厔
庣	𠩓
庤	𤲔𤲵
庥	休
度	剫㡯宅渡𢜬𤸿圖
座	坐𠱯
庨	𨴹
庪	庋
庬	厖尨痝
庭	廷𨓀𨓍閮逞
庮	𠩚𢈞𢉷
庯	陠
庰	𢉟𢊜屏
庳	𢈷𡲎
康	𠭳糠亢
庸	傭𠭻𠆌𦤘慵甬鏞墉容
庺	松
庾	㔱𢈔㢏斔斞𣂂
庿	廟
廀	廋
廃	廢废
廇	𢊺霤
廊	廊
廋	廀
廌	𢊁
廑	僅勤厪㢙𢋓
廒	厫𠪭敖
廓	郭𢋽𢌓霩
廖	㡻廫勠
廘	鹿
廙	𢇙㢞
廛	鄽厘𠪨㕓𡏂㙻㢆𢋨𢌅䣑壇
廜	𠪡𢉜
廞	嵌𢉄欽嶔
廥	括
廦	𠪮壁
廫	廖寥
廰	廳庁
廱	㢕
廲	𢌒
廴	引
延	綖羨衍
廷	閮庭
建	㨴
廽	廻𢌞
廾	収㫒𢪒
廿	念卄疾
弁	辧辯辨瓣卞𠭛𢍍𢍙㝸𥿋覍麰
弆	去
弇	𢍔𥦍𥦦
弈	𢌾𢌸
弉	奘
弋	𢍺隿𨾍𩾢㚤杙黓翼
弌	一壹𠤪壱
弍	二𢎐貳弐
弎	三叁參𢦘参
式	栻拭
弐	貳貮二
弓	乃及
引	廴𢎢𢏂㧈𢪉靷慎胤
弗	怫祓
弘	𣧀
弙	㢪
弛	㢮𢐏𢐋
弞	哂𣢀
弟	𠂖𢦢悌第
弡	張
弢	𡸅㢭𩎢韜
弣	㓡柎
弤	𢎸𢏁
弧	𥏩
弨	𢐕
弭	𢏱彌㥝辟
弮	卷絭拳
弱	𢐅
弴	㢯
弶	𢐷𢐻𣚦摾
弻	弼
弼	弻𠨒𠡂𢏇㢶㢸𢐀𢐈𢐝𢐡𢐤𢼥𢘍𨚍佛拂
弽	韘
弾	彈弹
彀	够彄𠥚𢐙句
彃	畢
彄	彀
彇	𢑁
彉	彍
彍	彉
彐	彑
彑	彐
彗	篲𥱵𥶙蔧
彘	𠅰𢑣𥏉
彚	彙
彛	彝彜
彜	彝彛
形	侀𢒈
彤	蚒
彧	𢒖戫㦽𢒰郁
彪	𠿖𢒜颩
彬	斌份𢒹邠
彯	𢒵
影	翳𢒬景
彴	仢
彵	迤
役	伇𠈧𠈿
徂	𡲂䢐𨖆
待	𥩳
很	佷哏𢓼詪狠恨
徉	佯
徊	佪回迴
徍	往
徎	侱逞
徏	陟
徐	俆𨑦
徒	𠫠𢓂𢔗𣥲𧺑𨑡𨑒
従	從从
得	𠭁㝶𢔨𢔶㝵𧴫䙸
徘	俳
徙	𢓊𡕝𡲴𨑭𨔀𨖤𨗬
徛	𢕗碕
徜	倘
徝	陟
徣	借
徤	健
徥	是恃
徦	蝦遐
徨	遑
循	遁紃巡揗
徬	傍𢔚
徭	傜㑾𠏈
微	𠌝𢕄𧗬㣲𢕧𢼸
徯	傒𧧹𢓽蹊
徰	征
徱	僄𤡑𠎼𠐆𠑎𩪊
徲	𠌬𢔭𢔦
徳	悳德𢛳
徴	徵
徶	𠍯
徸	㣫踵
徼	僥激𧾐邀儌繳
忀	躟
忁	儤
忂	躣
心	忄腎
忄	心
忌	坖㤅誋諅綦
忍	㣼韌仞
忎	仁
忒	𢘋
忔	忾
忕	忲
忖	刌
忙	恾朚𢗅
応	應
忝	㤁
忞	忟
忟	忞
忡	𢘷𢥕𢥞𢦃
忢	悟
忣	急
忦	恝
忩	怱悤
快	𢘦駃筷噲
忬	舒紓預
忭	昪
忯	恀
忰	悴
忱	𢗐𢗑愖
忲	忕㥭
忳	沌諄
忶	𢣒
忷	恟
忹	狂
忼	慷亢
忽	𡯖𢗘
忿	賁
怈	𢘽
怋	惛
怍	㤰
怐	佝𢗕𢛑
怒	㣽𢘂
怓	𢘾𢞙
怔	佂
怕	𢗌𢘣𢥻
怖	悑
怗	㤐惵惉
怘	固
怙	𢛅
怚	𢚆
怛	𢘇𢛁
思	恖𠂺𠃼𢍄𡴓楒䰄司私
怞	㾄
怡	𠙉台怠
怢	佚㥆
怣	尤
怤	懯
急	伋㤂忣𢚩
性	𢘡生䚖姓
怨	𠈢𢘔𠨛𢘖㤪𢛪惌愠冤藴
怩	𢘒
怫	弗𢘍拂悖
怯	㹤
怰	𢜚
怴	㤜
怸	悉
怹	他
恀	忯
恁	𢗖㤛飪
恂	𢞧
恃	徥𢘥
恇	𢝎
恊	協愶
恌	愮
恐	𢖶𢘠𢙢㤟𢙷𢝭𢟃𢟈
恓	恤悽
恔	㤊
恕	㣽
恖	思𠂺𠃼𢍄𡴓楒䰄
恘	惆
恚	㤬
恜	侙
恝	忦
恞	夷
恟	𢗮忷
恢	回㷇𢉸烣𨒭
恣	𢙊資訾次
恧	𠷼𢟄聏𦗂
恨	𢙃𢚉
恪	愙㤩愘
恫	挏恿痌侗洞
恭	𢙄𢚈龏躬共供龔
息	𢙆𧪩
恱	悦
恲	㤣㥊
恴	德
恵	惠慧
恾	忙朚𢗅
悀	愹愑
悁	𢛋𢞈𢝌
悂	𢟵
悄	𢖹
悆	紓
悇	𢣿
悈	𢜾
悉	怸𢘤𢘻𢚊𢝕
悊	哲折
悋	恡吝𢙵𠫤𠯛𠯌㖁𠳈𠳺𠲲𠳻𠴽
悌	弟
悏	㤲
悐	𢙹惕
悑	怖
悒	𤶛
悓	俔伣
悔	悔𢙽
悗	慢
悟	忢𠵥𠼘𢛤𢤓𥄪𦤜
悠	𢚐𢥀𢥙
悡	𢤂
悢	惊𢝋
患	𢤒𨴮𢠶
悥	意
您	你尒尓爾儞伱
悩	惱
悱	㥱
悲	𠾦
悳	徳德𢛳惪
悸	痵
悹	悺
悺	悹
悻	𢙼
悼	𢛂
惃	𢟦
惄	𢙤𢞤𢞔愵𧖷𧗂𩚮
情	啨𢚏
惆	恘
惈	果
惉	怗𢛈
惌	宛怨𥧉愠
惎	𢗏㥍𢤵
惐	淢
惑	或
惒	和
惓	倦
惕	悐惖𢞫𢡕剔
惖	惕
惚	沕𢝻
惜	𢡽
惝	㒉𢠵戃
惞	欣俽
惟	唯𢛧隹帷維雖
惠	恵僡叀㥣𢞨𢞯𢠞𢡘𦻇𢥁𦣽鏸繪慧
惢	蕊
惣	総揔
惪	悳謓
惰	媠𡡙𢞑𢡢憜𢣖𢢠𢣝隋墮堕隳
惵	怗㥈𢛐𢜨
惸	𡞦𢝼
惹	偌𢜪𢞇
惺	𢜫
惼	褊
惿	諟
愀	愁
愁	𢶲𢝲愀
愂	悖
愅	諽
愇	韙
愋	援㦥
愍	㥸𢞰慜緡湣
意	噫悥憶億抑薏音
愐	𢗔
愑	悀
愒	曷渴𢢚㵣
愓	𢠽
愕	噩咢㦍𥈭
愖	妉忱
愗	懋
愘	㤉恪
愙	恪㤩愘
愞	𢘧𢘎䎠懦
感	𢦡
愡	憁
愩	𢦅
愮	恌
愯	𢥠
愱	嫉
愳	懼
愵	惄
愶	脅恊
愸	整
愹	悀
愻	遜
愼	慎昚
慁	㥵
慃	傟
慅	懆草
慈	㤵
慉	槒
慊	嫌歉兼嗛謙
慌	㤺荒茫
慏	𢟫
慒	𢥱
慓	𢥡
慕	𢟽
慜	愍
慝	匿𢤃
慠	傲㥿𢢡
慡	爽
慢	悗僈𢢔
慧	恵譿惠
慩	㦁
慬	懄矜
慭	憖
慯	傷𤵼
慰	尉𢟬𢠢
慲	𢟮
慵	庸
慷	忼
慸	㦅懘
慹	𢡶𢢍
慺	𢡌
慻	眷
慿	憑
憀	𢟺
憁	愡𢛌
憅	慟
憆	瞠
憉	澎
憋	别彆撇𢠳𢢃𥡁𤺓
憌	𢗋
憍	驕
憎	憎
憓	譓
憖	憗慭
憗	憖慭
憘	憙㐂喜
憙	㐂憘喜𢝫𡔯𢐭歖嬉
憛	㤾
憜	惰
憝	憞𢥦𢥲譈
憞	憝敦
憠	𠢤
憡	𢙀
憢	僥嘵
憣	𢟷
憥	勞憦
憦	憥
憧	偅𢤤
憨	𠐣𣢅㦑𤸕𤺍𤼉
憪	𢡿𢢀
憯	𢡄㦧㿊
憴	譝
憹	惱𢥯
憻	坦
憼	儆敬
憿	僥儌㦘
懂	𢤦
懄	勤慬
懅	𢟶
懆	慅𢥼躁
懈	𠢲𢢣解
懊	㤇
懋	勖𢘅愗
懎	𢞮
懐	懷褱怀
懓	僾
懕	厭㦔懨
懖	𢤌𦗾𦘉𦘌
懘	慸𢤔𢤅
懙	𢢎
懚	㒚
懜	儚懵𩕫顭
懝	㘈擬𢣕
懠	𢡐𢥎
懤	㦞
懦	懧愞𢡼耎㐡需儒
懧	懦愞𢡼耎㐡
懪	𢥑𢥟
懬	曠
懮	憂
懯	怤
懰	劉㚹𢞓
懴	懺懿
懵	懜𠐧懞𢢺
懿	懺懴噫抑𡕆𡤵歖㦉㦤
戁	嫨難
戃	惝
戄	㦜
戅	戇
戉	鉞
戎	𠈋𢍻𢦦扔
成	𢦩𧶔盛誠
我	𠨂𢦐𢦖𢦠𨈟𩇶
戒	誨誡𢌵𢦥𢦶𢦬届
戕	𢦤牫牂壯
或	國𢈿㦯𢦙惑
戜	𢧄
戝	財賊
戟	激屰㦸𢧢撠棘
戠	埴𧧬
戡	勘𢦟堪龕
戢	𢨐𧥄輯
戣	鍨
戦	戰战
截	𠃲𠛍𢧵擮
戫	彧㦽
戳	擢
戴	載
戵	瞿
戺	巸𢨪𢩂
戻	戾
戽	洿𣶉
戾	戻㑦淚𤟵𤡵盭𢨾捩癘利纇
房	𠩝𣃞𢨲芳方防
所	㪽𠩄𢨷𢩇𦕄𫝂𫠦𬻐𬻔
扁	匾𡲜褊鶣徧偏編
扂	𠂼
扃	冂𢇺扄銄𨩮𨴀
扄	扃
扅	㢁㦾𢨴𢨹
扆	依
扇	煽𢄒𥰢騸
扈	𡴱𡴰簄户羽
扉	䤵𨵈
手	𠦬𡴤首
扏	㧨
扐	材艻
扒	捌
扔	戎𢫨
払	拂
扠	扨搋𢹓
扡	拖搋移
扤	𢪨抈
扦	𢳍𢸯
扨	扠搋𢹓
扭	杽
扮	𢮈
扱	𢩫接
扲	擒
扳	𢲔攀
扴	𢪅
扵	於
扶	㚘𢺻𢻳榑𢱿
扸	析
批	𢱧
扺	抵㧗觝疧
扻	櫛損竷
扽	𢻴托
找	划爪
承	氶𢪐𢪻拯丞懲乘贈烝蒸繩
技	伎
抁	捝𢯻𢰉
抂	在枉
抃	拚
抄	劋鈔挱
抅	拘
抆	𢪖捫㨉𢵢
抇	滑搰
抈	扤
抉	挗決觖
把	𢮤𢺞𩨜爬
抋	𢱶
抌	冘㱽𢻼㪛
抍	𢫑拯
抎	隕
抏	刓翫玩
抐	㨥
抑	億印噫𢑏𢬃𢫽懿意挹
抒	叙汿
抔	㧵掊
投	𢫹𣪌酘
抗	扛伉亢阬炕
抙	捊
抜	拔
択	擇
抦	秉
抨	拼平
抩	𢪈
披	𤿐𤿎翍鈹
抭	舀
抮	𢷑
抯	摣
抱	抛勽捊菢
抲	揢荷
抳	柅
抴	曳揲泄
抸	𢪍挾
抹	瀎
抻	伸
押	壓
抽	𢭆㨨𢳏㩅
抾	𢬱
抿	冺㨉
拀	柷
拂	払柫咈𢿀𣀪𨋥㩌佛刜怫弼費
拃	柞扎拶
拆	坼
拇	胟母敏
拉	啦𢰖搚摺㩉
拊	捬䵾㨐撫附柎腐
拌	𢬵判
拍	𢫦髆
拎	㩕𢺰
拑	㪁柑
拒	歫距
拔	抜叐杮𢪺𢇷拜
拘	抅佝𢳉挶句
拙	𢼍䂐掘炪
拚	𡊄判抃𢪴𢬵𢱰𢶳拼翻
招	韶昭
拞	抵
拠	據据
拡	挄擴
拪	遷
拫	掀艮
括	𢬸佸栝廥越
拭	式𢂑
拮	戛𢮌揭
拯	丞承氶抍𢫒𢮋撜
拱	珙共拲
拲	㭟拱
拳	𢮙搼㩲卷弮捲
拴	絟
拶	桚㭮拃𢹵𥔨䆘
拷	𣧏
拸	哆搋
拹	搚㩉
拺	㩍擉
拻	豗
拼	抨併拚逬摒
拽	曳𡲝
拾	十
挃	𢰗𢯶秷𥡫𢲼
挄	拡擴
挅	朵挆揣
挆	挅
指	𢫾脂旨稽視
挈	𢭋絜觢契
挊	弄挵
挋	賑
挌	𢼛𢾏
挍	校
挎	刳摳
